simplename	broad_host	collection_date	isolation_source	location	host	strain	SRR	SRA	Sample name	BioSample	name1	name2
GCA_001215785.1	ovine	1994			ovine	V19	ERR026026	ERS011625		SAMEA773550	GCA_001215785.1|ovine|1994	ERR026026|ovine|1994
GCA_001215525.1	bovine	1991			bovine	V20	ERR026027	ERS011626		SAMEA773549	GCA_001215525.1|bovine|1991	ERR026027|bovine|1991
GCA_001220545.1	equine	1994			equine	V28	ERR026029	ERS011630		SAMEA773577	GCA_001220545.1|equine|1994	ERR026029|equine|1994
GCA_001223405.1	bovine	1996			bovine	V37	ERR026030	ERS011639		SAMEA773572	GCA_001223405.1|bovine|1996	ERR026030|bovine|1996
GCA_001220265.1	bovine	1998			bovine	V38	ERR026031	ERS011640		SAMEA773561	GCA_001220265.1|bovine|1998	ERR026031|bovine|1998
GCA_001216485.1	bovine	1994			bovine	V41	ERR026032	ERS011641		SAMEA773560	GCA_001216485.1|bovine|1994	ERR026032|bovine|1994
GCA_001222885.1	equine	1994			equine	V29	ERR026033	ERS011631		SAMEA773578	GCA_001222885.1|equine|1994	ERR026033|equine|1994
GCA_001222765.1	bovine	1994			bovine	V30	ERR026034	ERS011632		SAMEA773579	GCA_001222765.1|bovine|1994	ERR026034|bovine|1994
GCA_001217825.1	bovine	1994			bovine	V31	ERR026035	ERS011633		SAMEA773580	GCA_001217825.1|bovine|1994	ERR026035|bovine|1994
GCA_001219265.1	bovine	1994			bovine	V32	ERR026036	ERS011634		SAMEA773573	GCA_001219265.1|bovine|1994	ERR026036|bovine|1994
GCA_001214745.1	bovine	1996			bovine	V33	ERR026037	ERS011635		SAMEA773574	GCA_001214745.1|bovine|1996	ERR026037|bovine|1996
GCA_001220165.1	bovine	1994			bovine	V34	ERR026038	ERS011636		SAMEA773575	GCA_001220165.1|bovine|1994	ERR026038|bovine|1994
GCA_001221905.1	porcine	1994			porcine	V35	ERR026039	ERS011637		SAMEA773576	GCA_001221905.1|porcine|1994	ERR026039|porcine|1994
GCA_001223185.1	bovine	1995			bovine	V36	ERR026040	ERS011638		SAMEA773571	GCA_001223185.1|bovine|1995	ERR026040|bovine|1995
GCA_001219225.1	avian	1996			poultry	V53	ERR026042	ERS011654		SAMEA773591	GCA_001219225.1|avian|1996	ERR026042|avian|1996
GCA_001217645.1	feline	1997			feline	V67	ERR026043	ERS011663		SAMEA773655	GCA_001217645.1|feline|1997	ERR026043|feline|1997
GCA_001216645.1	human	1991			Homo sapiens	H01	ERR026044	ERS011664		SAMEA773601	GCA_001216645.1|human|1991	ERR026044|human|1991
GCA_001215685.1	human	1992			Homo sapiens	H02	ERR026045	ERS011665		SAMEA773600	GCA_001215685.1|human|1992	ERR026045|human|1992
GCA_001217085.1	bovine	1998			bovine	V59	ERR026047	ERS011656		SAMEA773589	GCA_001217085.1|bovine|1998	ERR026047|bovine|1998
GCA_001218725.1	bovine	1998			bovine	V60	ERR026048	ERS011657		SAMEA773590	GCA_001218725.1|bovine|1998	ERR026048|bovine|1998
GCA_001217045.1	bovine	1998			bovine	V61	ERR026049	ERS011658		SAMEA773582	GCA_001217045.1|bovine|1998	ERR026049|bovine|1998
GCA_001223025.1	bovine	1999			bovine	V62	ERR026050	ERS011659		SAMEA773583	GCA_001223025.1|bovine|1999	ERR026050|bovine|1999
GCA_001219545.1	avian	1999			poultry	V63	ERR026051	ERS011660		SAMEA773605	GCA_001219545.1|avian|1999	ERR026051|avian|1999
GCA_001215725.1	unreported	2003			misc	V65	ERR026052	ERS011661		SAMEA773604	GCA_001215725.1|unreported|2003	ERR026052|unreported|2003
GCA_001220965.1	bovine	1998			bovine	V66	ERR026053	ERS011662		SAMEA773603	GCA_001220965.1|bovine|1998	ERR026053|bovine|1998
GCA_001219925.1	bovine	1994			bovine	V01	ERR026055	ERS011606		SAMEA773646	GCA_001219925.1|bovine|1994	ERR026055|bovine|1994
GCA_001220705.1	bovine	1996			bovine	V09	ERR026056	ERS011615		SAMEA773499	GCA_001220705.1|bovine|1996	ERR026056|bovine|1996
GCA_001222225.1	bovine	1996			bovine	V10	ERR026057	ERS011616		SAMEA773496	GCA_001222225.1|bovine|1996	ERR026057|bovine|1996
GCA_001218965.1	bovine	1997			bovine	V11	ERR026058	ERS011617		SAMEA773497	GCA_001218965.1|bovine|1997	ERR026058|bovine|1997
GCA_001220985.1	porcine	1990			porcine	V02	ERR026059	ERS011607		SAMEA773645	GCA_001220985.1|porcine|1990	ERR026059|porcine|1990
GCA_001217445.1	bovine	1992			bovine	V03	ERR026060	ERS011608		SAMEA773652	GCA_001217445.1|bovine|1992	ERR026060|bovine|1992
GCA_001223225.1	bovine	1991			bovine	V05	ERR026062	ERS011610		SAMEA773502	GCA_001223225.1|bovine|1991	ERR026062|bovine|1991
GCA_001215985.1	ovine	1994			ovine	V06	ERR026063	ERS011611		SAMEA773503	GCA_001215985.1|ovine|1994	ERR026063|ovine|1994
GCA_001218845.1	bovine	1993			bovine	V23	ERR026064	ERS011612		SAMEA773500	GCA_001218845.1|bovine|1993	ERR026064|bovine|1993
GCA_001221425.1	bovine	1994			bovine	V08	ERR026066	ERS011614		SAMEA773498	GCA_001221425.1|bovine|1994	ERR026066|bovine|1994
GCA_001221485.1	human	1990			Homo sapiens	H03	ERR026068	ERS011666		SAMEA773599	GCA_001221485.1|human|1990	ERR026068|human|1990
GCA_001218745.1	human	1994			Homo sapiens	H11	ERR026069	ERS011675		SAMEA773621	GCA_001218745.1|human|1994	ERR026069|human|1994
GCA_001221625.1	human	2000			Homo sapiens	H12	ERR026070	ERS011676		SAMEA773622	GCA_001221625.1|human|2000	ERR026070|human|2000
GCA_001222865.1	human	1999			Homo sapiens	H13	ERR026071	ERS011677		SAMEA773623	GCA_001222865.1|human|1999	ERR026071|human|1999
GCA_001215545.1	human	1992			Homo sapiens	H04	ERR026072	ERS011667		SAMEA773598	GCA_001215545.1|human|1992	ERR026072|human|1992
GCA_001222465.1	human	1992			Homo sapiens	H05	ERR026073	ERS011668		SAMEA773597	GCA_001222465.1|human|1992	ERR026073|human|1992
GCA_001219485.1	human	1996			Homo sapiens	H06	ERR026074	ERS011669		SAMEA773596	GCA_001219485.1|human|1996	ERR026074|human|1996
GCA_001219425.1	human	1999			Homo sapiens	H07	ERR026075	ERS011670		SAMEA773616	GCA_001219425.1|human|1999	ERR026075|human|1999
GCA_001219045.1	human	1997			Homo sapiens	H08	ERR026076	ERS011671		SAMEA773617	GCA_001219045.1|human|1997	ERR026076|human|1997
GCA_001216705.1	bovine	1993			bovine	V26	ERR026077	ERS011672		SAMEA773618	GCA_001216705.1|bovine|1993	ERR026077|bovine|1993
GCA_001217345.1	human	1994			Homo sapiens	H09	ERR026078	ERS011673		SAMEA773619	GCA_001217345.1|human|1994	ERR026078|human|1994
GCA_001223445.1	human	1996			Homo sapiens	H10	ERR026079	ERS011674		SAMEA773620	GCA_001223445.1|human|1996	ERR026079|human|1996
GCA_001223305.1	human	1994			Homo sapiens	H14	ERR026081	ERS011678		SAMEA773624	GCA_001223305.1|human|1994	ERR026081|human|1994
GCA_001215405.1	human	1994			Homo sapiens	H21	ERR026082	ERS011687		SAMEA773510	GCA_001215405.1|human|1994	ERR026082|human|1994
GCA_001222125.1	human	1993			Homo sapiens	H22	ERR026083	ERS011688		SAMEA773570	GCA_001222125.1|human|1993	ERR026083|human|1993
GCA_001214785.1	human	1995			Homo sapiens	H23	ERR026084	ERS011689		SAMEA773506	GCA_001214785.1|human|1995	ERR026084|human|1995
GCA_001566175.1	human	2003			Homo sapiens	H15	ERR026085	ERS011679		SAMEA773625	GCA_001566175.1|human|2003	ERR026085|human|2003
GCA_001217905.1	human	1996			Homo sapiens	H16	ERR026086	ERS011680		SAMEA773513	GCA_001217905.1|human|1996	ERR026086|human|1996
GCA_001219305.1	human	1997			Homo sapiens	H17	ERR026087	ERS011681		SAMEA773512	GCA_001219305.1|human|1997	ERR026087|human|1997
GCA_001218925.1	human	1991			Homo sapiens	H18	ERR026088	ERS011682		SAMEA773515	GCA_001218925.1|human|1991	ERR026088|human|1991
GCA_001220385.1	human	1997			Homo sapiens	H24	ERR026089	ERS011683		SAMEA773514	GCA_001220385.1|human|1997	ERR026089|human|1997
GCA_001216425.1	porcine	1994			porcine	V39	ERR026090	ERS011684		SAMEA773509	GCA_001216425.1|porcine|1994	ERR026090|porcine|1994
GCA_001218085.1	human	1995			Homo sapiens	H19	ERR026091	ERS011685		SAMEA773508	GCA_001218085.1|human|1995	ERR026091|human|1995
GCA_001221585.1	human	1992			Homo sapiens	H20	ERR026092	ERS011686		SAMEA773511	GCA_001221585.1|human|1992	ERR026092|human|1992
GCA_001222905.1	human	1997			Homo sapiens	H60	ERR026094	ERS011726		SAMEA773552	GCA_001222905.1|human|1997	ERR026094|human|1997
GCA_001221025.1	human	2001			Homo sapiens	H68	ERR026095	ERS011735		SAMEA773528	GCA_001221025.1|human|2001	ERR026095|human|2001
GCA_001217025.1	human	1996			Homo sapiens	H69	ERR026096	ERS011736		SAMEA773531	GCA_001217025.1|human|1996	ERR026096|human|1996
GCA_001223465.1	human	1996			Homo sapiens	H70	ERR026097	ERS011737		SAMEA773530	GCA_001223465.1|human|1996	ERR026097|human|1996
GCA_001221305.1	human	1994			Homo sapiens	H61	ERR026098	ERS011727		SAMEA773538	GCA_001221305.1|human|1994	ERR026098|human|1994
GCA_001216985.1	human	1995			Homo sapiens	H62	ERR026099	ERS011728		SAMEA773568	GCA_001216985.1|human|1995	ERR026099|human|1995
GCA_001219125.1	human	1996			Homo sapiens	H63	ERR026100	ERS011729		SAMEA773569	GCA_001219125.1|human|1996	ERR026100|human|1996
GCA_001221125.1	human	1996			Homo sapiens	H64	ERR026101	ERS011730		SAMEA773534	GCA_001221125.1|human|1996	ERR026101|human|1996
GCA_001219405.1	bovine	1997			bovine	V55	ERR026103	ERS011732		SAMEA773593	GCA_001219405.1|bovine|1997	ERR026103|bovine|1997
GCA_001220025.1	human	2002			Homo sapiens	H66	ERR026104	ERS011733		SAMEA773536	GCA_001220025.1|human|2002	ERR026104|human|2002
GCA_001215105.1	human	1996			Homo sapiens	H67	ERR026105	ERS011734		SAMEA773529	GCA_001215105.1|human|1996	ERR026105|human|1996
GCA_001219685.1	human	1994			Homo sapiens	H37	ERR026107	ERS011702		SAMEA773643	GCA_001219685.1|human|1994	ERR026107|human|1994
GCA_001221805.1	human	1993			Homo sapiens	H46	ERR026108	ERS011711		SAMEA773610	GCA_001221805.1|human|1993	ERR026108|human|1993
GCA_001223245.1	human	1998			Homo sapiens	H47	ERR026109	ERS011712		SAMEA773609	GCA_001223245.1|human|1998	ERR026109|human|1998
GCA_001218285.1	human	1997			Homo sapiens	H48	ERR026110	ERS011713		SAMEA773608	GCA_001218285.1|human|1997	ERR026110|human|1997
GCA_001219945.1	human	1994			Homo sapiens	H38	ERR026111	ERS011703		SAMEA773644	GCA_001219945.1|human|1994	ERR026111|human|1994
GCA_001218105.1	human	1995			Homo sapiens	H39	ERR026112	ERS011704		SAMEA773637	GCA_001218105.1|human|1995	ERR026112|human|1995
GCA_001221045.1	human	1996			Homo sapiens	H40	ERR026113	ERS011705		SAMEA773638	GCA_001221045.1|human|1996	ERR026113|human|1996
GCA_001222345.1	human	1995			Homo sapiens	H41	ERR026114	ERS011706		SAMEA773639	GCA_001222345.1|human|1995	ERR026114|human|1995
GCA_001217425.1	human	1996			Homo sapiens	H43	ERR026116	ERS011708		SAMEA773635	GCA_001217425.1|human|1996	ERR026116|human|1996
GCA_001216545.1	human	1997			Homo sapiens	H44	ERR026117	ERS011709		SAMEA773636	GCA_001216545.1|human|1997	ERR026117|human|1997
GCA_001216605.1	human	1997			Homo sapiens	H45	ERR026118	ERS011710		SAMEA773611	GCA_001216605.1|human|1997	ERR026118|human|1997
GCA_001222185.1	human	1998			Homo sapiens	H49	ERR026120	ERS011714		SAMEA773615	GCA_001222185.1|human|1998	ERR026120|human|1998
GCA_001219105.1	human	1993			Homo sapiens	H57	ERR026121	ERS011723		SAMEA773557	GCA_001219105.1|human|1993	ERR026121|human|1993
GCA_001217385.1	human	1994			Homo sapiens	H58	ERR026122	ERS011724		SAMEA773554	GCA_001217385.1|human|1994	ERR026122|human|1994
GCA_001218865.1	human	1996			Homo sapiens	H59	ERR026123	ERS011725		SAMEA773555	GCA_001218865.1|human|1996	ERR026123|human|1996
GCA_001222625.1	human	1997			Homo sapiens	H50	ERR026124	ERS011715		SAMEA773614	GCA_001222625.1|human|1997	ERR026124|human|1997
GCA_001218805.1	human	1990			Homo sapiens	H51	ERR026125	ERS011716		SAMEA773613	GCA_001218805.1|human|1990	ERR026125|human|1990
GCA_001221245.1	human	2002			Homo sapiens	H52	ERR026126	ERS011717		SAMEA773612	GCA_001221245.1|human|2002	ERR026126|human|2002
GCA_001223105.1	human	1996			Homo sapiens	H54	ERR026128	ERS011719		SAMEA773606	GCA_001223105.1|human|1996	ERR026128|human|1996
GCA_001218505.1	bovine	1996			bovine	V54	ERR026129	ERS011720		SAMEA773558	GCA_001218505.1|bovine|1996	ERR026129|bovine|1996
GCA_001219165.1	human	1991			Homo sapiens	H55	ERR026130	ERS011721		SAMEA773559	GCA_001219165.1|human|1991	ERR026130|human|1991
GCA_001219065.1	human	1991			Homo sapiens	H56	ERR026131	ERS011722		SAMEA773556	GCA_001219065.1|human|1991	ERR026131|human|1991
GCA_001220525.1	human	1996			Homo sapiens	H71	ERR026133	ERS011758		SAMEA773526	GCA_001220525.1|human|1996	ERR026133|human|1996
GCA_001220625.1	human	1999			Homo sapiens	H79	ERR026134	ERS011767		SAMEA773632	GCA_001220625.1|human|1999	ERR026134|human|1999
GCA_001222485.1	human	1999			Homo sapiens	H80	ERR026135	ERS011768		SAMEA773539	GCA_001222485.1|human|1999	ERR026135|human|1999
GCA_001218145.1	human	1999			Homo sapiens	H81	ERR026136	ERS011769		SAMEA773541	GCA_001218145.1|human|1999	ERR026136|human|1999
GCA_001217765.1	human	2001			Homo sapiens	H72	ERR026137	ERS011759		SAMEA773507	GCA_001217765.1|human|2001	ERR026137|human|2001
GCA_001218125.1	human	1996			Homo sapiens	H73	ERR026138	ERS011760		SAMEA773649	GCA_001218125.1|human|1996	ERR026138|human|1996
GCA_001219145.1	human	1997			Homo sapiens	H74	ERR026139	ERS011761		SAMEA773650	GCA_001219145.1|human|1997	ERR026139|human|1997
GCA_001221765.1	human	1998			Homo sapiens	H75	ERR026140	ERS011762		SAMEA773647	GCA_001221765.1|human|1998	ERR026140|human|1998
GCA_001222385.1	human	1999			Homo sapiens	H76	ERR026141	ERS011763		SAMEA773648	GCA_001222385.1|human|1999	ERR026141|human|1999
GCA_001219645.1	bovine	1997			bovine	V56	ERR026142	ERS011764		SAMEA773653	GCA_001219645.1|bovine|1997	ERR026142|bovine|1997
GCA_001215585.1	human	1999			Homo sapiens	H77	ERR026143	ERS011765		SAMEA773654	GCA_001215585.1|human|1999	ERR026143|human|1999
GCA_001222705.1	human	1999			Homo sapiens	H78	ERR026144	ERS011766		SAMEA773527	GCA_001222705.1|human|1999	ERR026144|human|1999
GCA_001219505.1	bovine	1994			bovine	V42	ERR026146	ERS011642		SAMEA773563	GCA_001219505.1|bovine|1994	ERR026146|bovine|1994
GCA_001220065.1	bovine	1997			bovine	V50	ERR026147	ERS011651		SAMEA773588	GCA_001220065.1|bovine|1997	ERR026147|bovine|1997
GCA_001219845.1	bovine	2001			bovine	V51	ERR026148	ERS011652		SAMEA773585	GCA_001219845.1|bovine|2001	ERR026148|bovine|2001
GCA_001218765.1	avian	1996			poultry	V52	ERR026149	ERS011653		SAMEA773586	GCA_001218765.1|avian|1996	ERR026149|avian|1996
GCA_001220665.1	bovine	1996			bovine	V43	ERR026150	ERS011643		SAMEA773562	GCA_001220665.1|bovine|1996	ERR026150|bovine|1996
GCA_001217265.1	bovine	1996			bovine	V44	ERR026151	ERS011644		SAMEA773565	GCA_001217265.1|bovine|1996	ERR026151|bovine|1996
GCA_001218385.1	bovine	1995			bovine	V45	ERR026152	ERS011645		SAMEA773564	GCA_001218385.1|bovine|1995	ERR026152|bovine|1995
GCA_001219965.1	ovine	1995			ovine	V46	ERR026153	ERS011646		SAMEA773567	GCA_001219965.1|ovine|1995	ERR026153|ovine|1995
GCA_001218685.1	bovine	2004			bovine	V47	ERR026154	ERS011647		SAMEA773566	GCA_001218685.1|bovine|2004	ERR026154|bovine|2004
GCA_001222645.1	bovine	1993			bovine	V27	ERR026155	ERS011648		SAMEA773553	GCA_001222645.1|bovine|1993	ERR026155|bovine|1993
GCA_001216845.1	bovine	1995			bovine	V48	ERR026156	ERS011649		SAMEA773602	GCA_001216845.1|bovine|1995	ERR026156|bovine|1995
GCA_001222145.1	bovine	1999			bovine	V49	ERR026157	ERS011650		SAMEA773587	GCA_001222145.1|bovine|1999	ERR026157|bovine|1999
GCA_001223325.1	human	2001			Homo sapiens	H82	ERR026159	ERS011770		SAMEA773595	GCA_001223325.1|human|2001	ERR026159|human|2001
GCA_001221605.1	human	1995			Homo sapiens	H93	ERR026160	ERS011779		SAMEA773581	GCA_001221605.1|human|1995	ERR026160|human|1995
GCA_001220865.1	human	1996			Homo sapiens	H94	ERR026161	ERS011780		SAMEA773633	GCA_001220865.1|human|1996	ERR026161|human|1996
GCA_001218405.1	human	1994			Homo sapiens	H95	ERR026162	ERS011781		SAMEA773634	GCA_001218405.1|human|1994	ERR026162|human|1994
GCA_001218625.1	human	2001			Homo sapiens	H83	ERR026163	ERS011771		SAMEA773594	GCA_001218625.1|human|2001	ERR026163|human|2001
GCA_001218305.1	human	2003			Homo sapiens	H86	ERR026164	ERS011772		SAMEA773627	GCA_001218305.1|human|2003	ERR026164|human|2003
GCA_001221065.1	human	2002			Homo sapiens	H88	ERR026165	ERS011773		SAMEA773626	GCA_001221065.1|human|2002	ERR026165|human|2002
GCA_001565955.1	human	2002			Homo sapiens	H89	ERR026166	ERS011774		SAMEA773629	GCA_001565955.1|human|2002	ERR026166|human|2002
GCA_001221445.1	human	2003			Homo sapiens	H90	ERR026167	ERS011775		SAMEA773628	GCA_001221445.1|human|2003	ERR026167|human|2003
GCA_001220585.1	bovine	1997			bovine	V57	ERR026168	ERS011776		SAMEA773631	GCA_001220585.1|bovine|1997	ERR026168|bovine|1997
GCA_001214545.1	human	1997			Homo sapiens	H92	ERR026170	ERS011778		SAMEA773584	GCA_001214545.1|human|1997	ERR026170|human|1997
GCA_001219865.1	human	1994			Homo sapiens	H26	ERR028466	ERS011690		SAMEA773524	GCA_001219865.1|human|1994	ERR028466|human|1994
GCA_001326255.1	human	1998			Homo sapiens	H34	ERR028467	ERS011699		SAMEA773517	GCA_001326255.1|human|1998	ERR028467|human|1998
GCA_001218585.1	human	1995			Homo sapiens	H35	ERR028468	ERS011700		SAMEA773641	GCA_001218585.1|human|1995	ERR028468|human|1995
GCA_001216585.1	human	2003			Homo sapiens	H36	ERR028469	ERS011701		SAMEA773642	GCA_001216585.1|human|2003	ERR028469|human|2003
GCA_001219285.1	human	1998			Homo sapiens	H27	ERR028470	ERS011691		SAMEA773525	GCA_001219285.1|human|1998	ERR028470|human|1998
GCA_001218545.1	human	2000			Homo sapiens	H28	ERR028471	ERS011692		SAMEA773522	GCA_001218545.1|human|2000	ERR028471|human|2000
GCA_001222065.1	human	2004			Homo sapiens	H29	ERR028472	ERS011693		SAMEA773523	GCA_001222065.1|human|2004	ERR028472|human|2004
GCA_001218325.1	human	1998			Homo sapiens	H30	ERR028473	ERS011694		SAMEA773520	GCA_001218325.1|human|1998	ERR028473|human|1998
GCA_001219665.1	human	1991			Homo sapiens	H31	ERR028474	ERS011695		SAMEA773521	GCA_001219665.1|human|1991	ERR028474|human|1991
GCA_001214325.1	porcine	1996			porcine	V40	ERR028475	ERS011696		SAMEA773518	GCA_001214325.1|porcine|1996	ERR028475|porcine|1996
GCA_001222505.1	human	1994			Homo sapiens	H32	ERR028476	ERS011697		SAMEA773519	GCA_001222505.1|human|1994	ERR028476|human|1994
GCA_900166885.1	unreported						ERR1016546	ERS745838		SAMEA3448233	GCA_900166885.1|unreported|	ERR1016546|unreported|
GCA_900003975.1	unreported					STM2	ERR1520683	ERS569588		SAMEA2822418	GCA_900003975.1|unreported|	ERR1520683|unreported|
GCA_900003305.1	unreported						ERR1558650	ERS611611		SAMEA3139672	GCA_900003305.1|unreported|	ERR1558650|unreported|
GCA_900003135.1	unreported						ERR1558651	ERS611612		SAMEA3139673	GCA_900003135.1|unreported|	ERR1558651|unreported|
GCA_900003225.1	unreported						ERR1558652	ERS611613		SAMEA3139674	GCA_900003225.1|unreported|	ERR1558652|unreported|
GCA_900003265.1	unreported					STM13	ERR1558653	ERS569584		SAMEA2822414	GCA_900003265.1|unreported|	ERR1558653|unreported|
GCA_900003155.1	unreported					STM14	ERR1558654	ERS569585		SAMEA2822415	GCA_900003155.1|unreported|	ERR1558654|unreported|
GCA_900002645.1	unreported					STM15	ERR1558655	ERS569586		SAMEA2822416	GCA_900002645.1|unreported|	ERR1558655|unreported|
GCA_900002655.1	unreported					STM16	ERR1558656	ERS569587		SAMEA2822417	GCA_900002655.1|unreported|	ERR1558656|unreported|
GCA_900005365.1	unreported						ERR1590172	ERS611607		SAMEA3139668	GCA_900005365.1|unreported|	ERR1590172|unreported|
GCA_900002635.1	unreported						ERR1590173	ERS611608		SAMEA3139669	GCA_900002635.1|unreported|	ERR1590173|unreported|
GCA_900003125.1	unreported						ERR1590174	ERS611609		SAMEA3139670	GCA_900003125.1|unreported|	ERR1590174|unreported|
GCA_900003295.1	unreported						ERR1590175	ERS611610		SAMEA3139671	GCA_900003295.1|unreported|	ERR1590175|unreported|
GCA_900007385.1	unreported					STM1	ERR1590176	ERS569589		SAMEA2822419	GCA_900007385.1|unreported|	ERR1590176|unreported|
GCA_900009535.1	unreported					STM3	ERR1590177	ERS569590		SAMEA2822420	GCA_900009535.1|unreported|	ERR1590177|unreported|
GCA_900015205.1	unreported					STM18	ERR1590178	ERS569592		SAMEA2822422	GCA_900015205.1|unreported|	ERR1590178|unreported|
GCA_900019235.1	unreported					STM20	ERR1590179	ERS569593		SAMEA2822423	GCA_900019235.1|unreported|	ERR1590179|unreported|
GCA_900003145.1	unreported					STM40	ERR1590180	ERS569594		SAMEA2822424	GCA_900003145.1|unreported|	ERR1590180|unreported|
GCA_900003755.1	unreported					STM21	ERR1590181	ERS569595		SAMEA2822425	GCA_900003755.1|unreported|	ERR1590181|unreported|
GCA_900005975.1	unreported					STM23	ERR1590182	ERS569596		SAMEA2822426	GCA_900005975.1|unreported|	ERR1590182|unreported|
GCA_900002665.1	unreported					STM25	ERR1590183	ERS569597		SAMEA2822427	GCA_900002665.1|unreported|	ERR1590183|unreported|
GCA_900006005.1	unreported					STM28	ERR1590184	ERS569598		SAMEA2822428	GCA_900006005.1|unreported|	ERR1590184|unreported|
GCA_900002675.1	unreported					STM29	ERR1590185	ERS569599		SAMEA2822429	GCA_900002675.1|unreported|	ERR1590185|unreported|
GCA_900003065.1	unreported					STM31	ERR1590186	ERS569600		SAMEA2822430	GCA_900003065.1|unreported|	ERR1590186|unreported|
GCA_900002685.1	unreported					STM33	ERR1590187	ERS569601		SAMEA2822431	GCA_900002685.1|unreported|	ERR1590187|unreported|
GCA_900002715.1	unreported					STM44	ERR1590188	ERS569602		SAMEA2822432	GCA_900002715.1|unreported|	ERR1590188|unreported|
GCA_900002695.1	unreported					STM45	ERR1590189	ERS569603		SAMEA2822433	GCA_900002695.1|unreported|	ERR1590189|unreported|
GCA_900007445.1	unreported					STM57	ERR1590190	ERS569604		SAMEA2822434	GCA_900007445.1|unreported|	ERR1590190|unreported|
GCA_900003315.1	unreported					STM86	ERR1590191	ERS569605		SAMEA2822435	GCA_900003315.1|unreported|	ERR1590191|unreported|
GCA_900002725.1	unreported					STM69	ERR1590192	ERS569606		SAMEA2822436	GCA_900002725.1|unreported|	ERR1590192|unreported|
GCA_900002705.1	unreported					STM70	ERR1590193	ERS569607		SAMEA2822437	GCA_900002705.1|unreported|	ERR1590193|unreported|
GCA_900003075.1	unreported					STM75	ERR1590194	ERS569608		SAMEA2822438	GCA_900003075.1|unreported|	ERR1590194|unreported|
GCA_900003165.1	unreported					STM87	ERR1590195	ERS569609		SAMEA2822439	GCA_900003165.1|unreported|	ERR1590195|unreported|
GCA_900002735.1	unreported					STM19	ERR1590196	ERS569611		SAMEA2822441	GCA_900002735.1|unreported|	ERR1590196|unreported|
GCA_900003245.1	unreported					STM121	ERR1590197	ERS569612		SAMEA2822442	GCA_900003245.1|unreported|	ERR1590197|unreported|
GCA_900003025.1	unreported					STM126	ERR1590198	ERS569613		SAMEA2822443	GCA_900003025.1|unreported|	ERR1590198|unreported|
GCA_900002755.1	unreported					STM118	ERR1590199	ERS569614		SAMEA2822444	GCA_900002755.1|unreported|	ERR1590199|unreported|
GCA_900003335.1	unreported					STM110	ERR1590200	ERS569615		SAMEA2822445	GCA_900003335.1|unreported|	ERR1590200|unreported|
GCA_900002745.1	unreported					STM139	ERR1590201	ERS569616		SAMEA2822446	GCA_900002745.1|unreported|	ERR1590201|unreported|
GCA_900002795.1	unreported					STM141	ERR1590202	ERS569617		SAMEA2822447	GCA_900002795.1|unreported|	ERR1590202|unreported|
GCA_900003175.1	unreported					STM142	ERR1590203	ERS569618		SAMEA2822448	GCA_900003175.1|unreported|	ERR1590203|unreported|
GCA_900002765.1	unreported					STM143	ERR1590204	ERS569619		SAMEA2822449	GCA_900002765.1|unreported|	ERR1590204|unreported|
GCA_900002775.1	unreported					STM156	ERR1590205	ERS569620		SAMEA2822450	GCA_900002775.1|unreported|	ERR1590205|unreported|
GCA_900002785.1	unreported					STM134	ERR1590206	ERS569621		SAMEA2822451	GCA_900002785.1|unreported|	ERR1590206|unreported|
GCA_900007395.1	unreported					STM135	ERR1590207	ERS569622		SAMEA2822452	GCA_900007395.1|unreported|	ERR1590207|unreported|
GCA_900003185.1	unreported					STM133	ERR1590208	ERS569623		SAMEA2822453	GCA_900003185.1|unreported|	ERR1590208|unreported|
GCA_900003275.1	unreported					STM147	ERR1590209	ERS569624		SAMEA2822454	GCA_900003275.1|unreported|	ERR1590209|unreported|
GCA_900002815.1	unreported					STM113	ERR1592584	ERS569626		SAMEA2822456	GCA_900002815.1|unreported|	ERR1592584|unreported|
GCA_900003345.1	unreported					STM120	ERR1592585	ERS569628		SAMEA2822458	GCA_900003345.1|unreported|	ERR1592585|unreported|
GCA_900006165.1	unreported					STM116	ERR1592586	ERS569629		SAMEA2822459	GCA_900006165.1|unreported|	ERR1592586|unreported|
GCA_900003035.1	unreported					STM109	ERR1592587	ERS569630		SAMEA2822460	GCA_900003035.1|unreported|	ERR1592587|unreported|
GCA_900003085.1	unreported					STM122	ERR1592588	ERS569631		SAMEA2822461	GCA_900003085.1|unreported|	ERR1592588|unreported|
GCA_900007425.1	unreported					STM169	ERR1592589	ERS569632		SAMEA2822462	GCA_900007425.1|unreported|	ERR1592589|unreported|
GCA_900002925.1	unreported					STM157	ERR1592590	ERS569633		SAMEA2822463	GCA_900002925.1|unreported|	ERR1592590|unreported|
GCA_900003045.1	unreported					STM160	ERR1592591	ERS569634		SAMEA2822464	GCA_900003045.1|unreported|	ERR1592591|unreported|
GCA_900002985.1	unreported					STM172	ERR1592592	ERS569635		SAMEA2822465	GCA_900002985.1|unreported|	ERR1592592|unreported|
GCA_900002905.1	unreported					STM194	ERR1592593	ERS569636		SAMEA2822466	GCA_900002905.1|unreported|	ERR1592593|unreported|
GCA_900003055.1	unreported					STM184	ERR1592594	ERS569637		SAMEA2822467	GCA_900003055.1|unreported|	ERR1592594|unreported|
GCA_900003355.1	unreported					STM188	ERR1592595	ERS569638		SAMEA2822468	GCA_900003355.1|unreported|	ERR1592595|unreported|
